National Currency,Year,Data
Afghanistan - Afghani,2018,73.598
Afghanistan - Afghani,2017,71.086
Afghanistan - Afghani,2016,70.645
Afghanistan - Afghani,2015,63.653
Afghanistan - Afghani,2014,59.771
Afghanistan - Afghani,2013,57.822
Algeria - Dinar,2018,117.409
Algeria - Dinar,2017,115.876
Algeria - Dinar,2016,114.431
Algeria - Dinar,2015,104.883
Algeria - Dinar,2014,84.242
Algeria - Dinar,2013,83.339
Argentina - Peso,2018,28.167
Argentina - Peso,2017,17.227
Argentina - Peso,2016,15.359
Argentina - Peso,2015,9.617
Argentina - Peso,2014,8.448
Argentina - Peso,2013,5.704
Australia - Dollar,2018,1.340
Australia - Dollar,2017,1.358
Australia - Dollar,2016,1.400
Australia - Dollar,2015,1.345
Australia - Dollar,2014,1.154
Australia - Dollar,2013,1.078
Bahrain - Dinar,2018,0.395
Bahrain - Dinar,2017,0.395
Bahrain - Dinar,2016,0.395
Bahrain - Dinar,2015,0.395
Bahrain - Dinar,2014,0.394
Bahrain - Dinar,2013,0.395
Brazil - Real,2018,3.655
Brazil - Real,2017,3.322
Brazil - Real,2016,3.632
Brazil - Real,2015,3.468
Brazil - Real,2014,2.451
Brazil - Real,2013,2.249
Canada - Dollar,2018,1.297
Canada - Dollar,2017,1.350
Canada - Dollar,2016,1.379
Canada - Dollar,2015,1.329
Canada - Dollar,2014,1.149
Canada - Dollar,2013,1.071
Cayman Islands - Dollar,2018,0.833
Cayman Islands - Dollar,2017,0.884
Cayman Islands - Dollar,2016,0.886
Cayman Islands - Dollar,2015,0.885
Cayman Islands - Dollar,2014,0.883
Cayman Islands - Dollar,2013,0.873
China - Yuan,2018,6.620
China - Yuan,2017,7.030
China - Yuan,2016,6.910
China - Yuan,2015,6.489
China - Yuan,2014,6.394
China - Yuan,2013,6.446
Denmark - Krone,2018,6.319
Denmark - Krone,2017,6.864
Denmark - Krone,2016,7.000
Denmark - Krone,2015,6.991
Denmark - Krone,2014,5.844
Denmark - Krone,2013,5.843
Egypt - Pound,2018,17.809
Egypt - Pound,2017,18.586
Egypt - Pound,2016,10.462
Egypt - Pound,2015,8.044
Egypt - Pound,2014,7.399
Egypt - Pound,2013,7.185
Euro Zone - Euro,2018,0.848
Euro Zone - Euro,2017,0.923
Euro Zone - Euro,2016,0.940
Euro Zone - Euro,2015,0.937
Euro Zone - Euro,2014,0.784
Euro Zone - Euro,2013,0.783
Hong Kong - Dollar,2018,7.838
