Year,Price,Type
1850,17,aluminum
1851,,aluminum
1852,,aluminum
1853,,aluminum
1854,,aluminum
1855,,aluminum
1856,,aluminum
1857,,aluminum
1858,,aluminum
1859,,aluminum
1860,,aluminum
1861,,aluminum
1862,,aluminum
1863,,aluminum
1864,,aluminum
1865,,aluminum
1866,,aluminum
1867,,aluminum
1868,,aluminum
1869,,aluminum
1870,,aluminum
1871,,aluminum
1872,9,aluminum
1873,,aluminum
1874,,aluminum
1875,,aluminum
1876,,aluminum
1877,,aluminum
1878,,aluminum
1879,,aluminum
1880,,aluminum
1881,,aluminum
1882,,aluminum
1883,,aluminum
1884,,aluminum
1885,,aluminum
1886,,aluminum
1887,8,aluminum
1888,,aluminum
1889,,aluminum
1890,,aluminum
1891,,aluminum
1892,,aluminum
1893,,aluminum
1894,,aluminum
1895,0.587,aluminum
1896,0.507,aluminum
1897,0.39,aluminum
1898,0.306,aluminum
1899,0.327,aluminum
1900,0.327,aluminum
1901,0.33,aluminum
1902,0.33,aluminum
1903,0.33,aluminum
1904,0.35,aluminum
1905,0.35,aluminum
1906,0.358,aluminum
1907,0.45,aluminum
1908,0.287,aluminum
1909,0.22,aluminum
1910,0.223,aluminum
1911,0.201,aluminum
1912,0.22,aluminum
1913,0.236,aluminum
1914,0.186,aluminum
1915,0.34,aluminum
1916,0.607,aluminum
1917,0.516,aluminum
1918,0.335,aluminum
1919,0.321,aluminum
1920,0.327,aluminum
1921,0.221,aluminum
1922,0.187,aluminum
1923,0.254,aluminum
1924,0.27,aluminum
1925,0.272,aluminum
1926,0.27,aluminum
1927,0.254,aluminum
1928,0.243,aluminum
1929,0.243,aluminum
1930,0.238,aluminum
1931,0.233,aluminum
1932,0.233,aluminum
1933,0.233,aluminum
1934,0.234,aluminum
1935,0.2,aluminum
1936,0.205,aluminum
1937,0.199,aluminum
1938,0.2,aluminum
1939,0.2,aluminum
1940,0.187,aluminum
1941,0.165,aluminum
1942,0.15,aluminum
1943,0.15,aluminum
1944,0.15,aluminum
1945,0.15,aluminum
1946,0.15,aluminum
1947,0.15,aluminum
1948,0.157,aluminum
1949,0.17,aluminum
1950,0.177,aluminum
1951,0.19,aluminum
1952,0.194,aluminum
1953,0.209,aluminum
1954,0.218,aluminum
1955,0.237,aluminum
1956,0.24,aluminum
1957,0.254,aluminum
1958,0.248,aluminum
1959,0.247,aluminum
1960,0.26,aluminum
1961,0.255,aluminum
1962,0.239,aluminum
1963,0.226,aluminum
1964,0.237,aluminum
1965,0.245,aluminum
1966,0.245,aluminum
1967,0.25,aluminum
1968,0.256,aluminum
1969,0.272,aluminum
1970,0.287,aluminum
1971,0.29,aluminum
1972,0.25,aluminum
1973,0.264,aluminum
1974,0.431,aluminum
1975,0.348,aluminum
1976,0.412,aluminum
1977,0.478,aluminum
1978,0.51,aluminum
1979,0.707,aluminum
1980,0.761,aluminum
1981,0.598,aluminum
1982,0.468,aluminum
1983,0.683,aluminum
1984,0.611,aluminum
1985,0.488,aluminum
1986,0.559,aluminum
1987,0.723,aluminum
1988,1.101,aluminum
1989,0.878,aluminum
1990,0.74,aluminum
1991,0.595,aluminum
1992,0.575,aluminum
1993,0.533,aluminum
1994,0.712,aluminum
1995,0.859,aluminum
1996,0.713,aluminum
1997,0.771,aluminum
1998,0.655,aluminum
1999,0.657,aluminum
2000,0.746,aluminum
2001,0.688,aluminum
2002,0.649,aluminum
2003,0.681,aluminum
2004,0.84,aluminum
2005,0.91,aluminum
2006,1.214,aluminum
2007,1.222,aluminum
2008,1.205,aluminum
2009,0.794,aluminum
2010,1.044,aluminum
1900,0.095,antimony
1901,0.082,antimony
1902,0.061,antimony
1903,0.06,antimony
1904,0.064,antimony
1905,0.102,antimony
1906,0.217,antimony
1907,0.148,antimony
1908,0.08,antimony
1909,0.075,antimony
1910,0.074,antimony
1911,0.075,antimony
1912,0.078,antimony
1913,0.075,antimony
1914,0.088,antimony
1915,0.303,antimony
1916,0.254,antimony
1917,0.207,antimony
1918,0.126,antimony
1919,0.082,antimony
1920,0.085,antimony
1921,0.05,antimony
1922,0.054,antimony
1923,0.078,antimony
1924,0.108,antimony
1925,0.175,antimony
1926,0.159,antimony
1927,0.123,antimony
1928,0.103,antimony
1929,0.089,antimony
1930,0.077,antimony
1931,0.067,antimony
1932,0.056,antimony
1933,0.065,antimony
1934,0.089,antimony
1935,0.136,antimony
1936,0.122,antimony
1937,0.154,antimony
1938,0.124,antimony
1939,0.124,antimony
1940,0.14,antimony
1941,0.14,antimony
1942,0.156,antimony
1943,0.159,antimony
1944,0.158,antimony
1945,0.16,antimony
1946,0.17,antimony
1947,0.34,antimony
1948,0.37,antimony
1949,0.39,antimony
1950,0.29,antimony
1951,0.44,antimony
1952,0.44,antimony
1953,0.36,antimony
1954,0.31,antimony
1955,0.32,antimony
1956,0.36,antimony
1957,0.35,antimony
1958,0.32,antimony
1959,0.31,antimony
1960,0.31,antimony
1961,0.34,antimony
1962,0.35,antimony
1963,0.35,antimony
1964,0.42,antimony
1965,0.46,antimony
1966,0.46,antimony
1967,0.46,antimony
1968,0.46,antimony
1969,0.58,antimony
1970,1.44,antimony
1971,0.71,antimony
1972,0.59,antimony
1973,0.69,antimony
1974,1.82,antimony
1975,1.77,antimony
1976,1.65,antimony
1977,1.78,antimony
1978,1.15,antimony
1979,1.41,antimony
1980,1.51,antimony
1981,1.36,antimony
1982,1.07,antimony
1983,0.91,antimony
1984,1.51,antimony
1985,1.31,antimony
1986,1.22,antimony
1987,1.11,antimony
1988,1.04,antimony
1989,0.94,antimony
1990,0.82,antimony
1991,0.82,antimony
1992,0.79,antimony
1993,0.77,antimony
1994,1.78,antimony
1995,2.28,antimony
1996,1.47,antimony
1997,0.98,antimony
1998,0.718,antimony
1999,0.627,antimony
2000,0.655,antimony
2001,0.647,antimony
2002,0.884,antimony
2003,1.075,antimony
2004,1.303,antimony
2005,1.605,antimony
2006,2.38,antimony
2007,2.59,antimony
2008,2.8,antimony
2009,2.36,antimony
2010,4.01,antimony
1959,0.5,arsenic
1960,0.5,arsenic
1961,0.5,arsenic
1962,0.5,arsenic
1963,0.5,arsenic
1964,0.5,arsenic
1965,0.56,arsenic
1966,0.56,arsenic
1967,0.48,arsenic
1968,0.56,arsenic
1969,0.56,arsenic
1970,0.64,arsenic
1971,0.64,arsenic
1972,0.75,arsenic
1973,0.98,arsenic
1974,1.91,arsenic
1975,1.6,arsenic
1976,1.75,arsenic
1977,1.9,arsenic
1978,1.9,arsenic
1979,1.9,arsenic
1980,3,arsenic
1981,2.75,arsenic
1982,2.45,arsenic
1983,2.25,arsenic
1984,2.1,arsenic
1985,2.1,arsenic
1986,1.85,arsenic
1987,,arsenic
1988,,arsenic
1989,,arsenic
1990,,arsenic
1991,,arsenic
1992,0.73,arsenic
1993,0.53,arsenic
1994,0.9,arsenic
1995,0.7,arsenic
1996,0.58,arsenic
1997,0.45,arsenic
1998,0.46,arsenic
1999,0.59,arsenic
2000,0.51,arsenic
2001,0.75,arsenic
2002,1.2,arsenic
2003,0.87,arsenic
2004,0.88,arsenic
2005,0.95,arsenic
2006,0.62,arsenic
2007,1.22,arsenic
2008,1.25,arsenic
2009,1.21,arsenic
2010,1.2,arsenic
1947,95,beryllium
1948,95,beryllium
1949,95,beryllium
1950,95,beryllium
1951,95,beryllium
1952,95,beryllium
1953,71.5,beryllium
1954,71.5,beryllium
1955,71.5,beryllium
1956,71.5,beryllium
1957,71.5,beryllium
1958,71.5,beryllium
1959,71.5,beryllium
1960,70,beryllium
1961,54,beryllium
1962,54,beryllium
1963,54,beryllium
1964,54,beryllium
1965,54,beryllium
1966,54,beryllium
1967,54,beryllium
1968,54,beryllium
1969,60,beryllium
1970,60,beryllium
1971,60,beryllium
1972,60,beryllium
1973,49,beryllium
1974,59.75,beryllium
1975,59.5,beryllium
1976,59.5,beryllium
1977,96,beryllium
1978,103,beryllium
1979,103,beryllium
1980,120,beryllium
1981,148,beryllium
1982,166,beryllium
1983,178,beryllium
1984,178,beryllium
1985,196,beryllium
1986,204,beryllium
1987,229,beryllium
1988,244,beryllium
1989,261,beryllium
1990,269,beryllium
1991,280,beryllium
1992,280,beryllium
1993,295,beryllium
1994,295,beryllium
1995,385,beryllium
1996,385,beryllium
1997,385,beryllium
1998,385,beryllium
1999,385,beryllium
2000,83,beryllium
2001,73,beryllium
2002,76,beryllium
2003,74,beryllium
2004,76,beryllium
2005,78,beryllium
2006,82,beryllium
2007,85,beryllium
2008,89,beryllium
2009,109,beryllium
2010,107,beryllium
1906,1.25,bismuth
1907,1.25,bismuth
1908,1.75,bismuth
1909,1.75,bismuth
1910,1.93,bismuth
1911,2.13,bismuth
1912,2.03,bismuth
1913,2,bismuth
1914,2.88,bismuth
1915,2.88,bismuth
1916,3.63,bismuth
1917,3.43,bismuth
1918,3.43,bismuth
1919,3.08,bismuth
1920,2.55,bismuth
1921,1.95,bismuth
1922,1.98,bismuth
1923,2.5,bismuth
1924,2.03,bismuth
1925,2,bismuth
1926,3.03,bismuth
1927,2.3,bismuth
1928,1.98,bismuth
1929,1.7,bismuth
1930,1.35,bismuth
1931,1.25,bismuth
1932,0.85,bismuth
1933,1.08,bismuth
1934,1.2,bismuth
1935,1.05,bismuth
1936,1,bismuth
1937,1,bismuth
1938,1.05,bismuth
1939,1.1,bismuth
1940,1.25,bismuth
1941,1.25,bismuth
1942,1.25,bismuth
1943,1.25,bismuth
1944,1.25,bismuth
1945,1.25,bismuth
1946,1.44,bismuth
1947,1.98,bismuth
1948,2,bismuth
1949,2,bismuth
1950,2.06,bismuth
1951,2.25,bismuth
1952,2.25,bismuth
1953,2.25,bismuth
1954,2.25,bismuth
1955,2.25,bismuth
1956,2.25,bismuth
1957,2.25,bismuth
1958,2.25,bismuth
1959,2.25,bismuth
1960,2.25,bismuth
1961,2.25,bismuth
1962,2.25,bismuth
1963,2.25,bismuth
1964,2.3,bismuth
1965,3.43,bismuth
1966,4,bismuth
1967,4,bismuth
1968,4,bismuth
1969,4.63,bismuth
1970,6,bismuth
1971,5.26,bismuth
1972,3.63,bismuth
1973,5.25,bismuth
1974,9.25,bismuth
1975,8.25,bismuth
1976,7.5,bismuth
1977,6,bismuth
1978,3.38,bismuth
1979,3.01,bismuth
1980,2.64,bismuth
1981,2.52,bismuth
1982,1.61,bismuth
1983,1.72,bismuth
1984,4.27,bismuth
1985,5.18,bismuth
1986,3.25,bismuth
1987,3.65,bismuth
1988,5.78,bismuth
1989,5.76,bismuth
1990,3.56,bismuth
1991,3.1,bismuth
1992,2.66,bismuth
1993,2.5,bismuth
