CUSIP,Ticker
000021303,ANAFF
00006K018,TESTA
00006K026,TESTB
00006K034,TESTC
00006K042,TESTD
00006K059,TESTE
00006K067,TESTF
00006K075,TESTG
00006K083,TESTH
00006K091,TESTI
00006K109,TESTJ
00006K133,TESTM
00006K166,TESTP
00006K174,TESTQ
00006K182,TESTR
00006K190,TESTS
00006K208,TESTT
00006K216,TESTU
00006K224,TESTV
00006K232,TESTW
00006K240,TESTX
00006K257,TESTY
00006K265,TESTZ
00006K273,TESTAA
00006K281,TESTBB
00006K299,TESTCC
00006K307,TESTDD
00006K315,TESTEE
00006K349,TESTHH
00006K356,TESTII
00006K380,TESTLL
00006K398,TESTMM
00006K406,TESTNN
00006K414,TESTOO
00006K422,TESTPP
00006K430,TESTQQ
00006K448,TESTRR
000101105,AJVE
000275107,AAAM
000303107,AQBN
000304105,AACAY
000307108,AAC
000336206,GFW
000336206,GFWCL
000336305,GFZ
000354100,ANTQ
000360206,AAON
000361105,AIR
000375204,ABB
00037T103,AAPJ
00037W106,ABTO
000380105,ABCZY
000400101,ABCB
000573105,ABCC
000573303,ABCI
000640102,AFDG
000640102,AFDGE
000722108,ABCI
000752105,ABCRQ
000770107,ABHG
00077C408,AGRPY
000788109,ABWG
000788109,ABWGE
00079X103,ACSIF
00080Q105,AAVMY
00080S101,ABXA
00080V203,ABNPR
00080V203,ABNPRF
00081T108,ABD
00081T108,ACCO
00082Q103,ABVG
000833103,ACA
000833103,ACAH
00083D606,SGH
00083D713,SBK
00083D796,RFW
00083D820,SCB
00083D846,SPD
00083D853,MKE
00083U103,ABQQ
00083U202,ABQQ
00084J107,ABOT
00084J107,ABOTD
00084L102,ABOT
000868109,ACNB
00086T103,ACMR
000875104,ACGJ
00087B101,**********
00087B101,ACRG
00087B101,BRR
00087F102,ACLO
00087F102,ACLOE
00087L125,ACPQW
00087L208,ACPQL
000881201,TACX
000886101,ADCT
000886309,ADCT
000886309,ADCTD
00088K100,ASEN
00088U108,ADAM
00088Y100,ADBY
00088Y100,ADBYF
000899104,ADMA
00089C107,ADEX
00089G108,ADBI
00089G207,ADBI
00089H106,ACSAY
00089J102,ACLH
00089L107,DRWN
00089L107,DRWND
00089Y109,AQFD
00090Q103,ADT
00090X108,ACPS
00090X108,IGLUD
000912105,ACG
000912105,ACGXXXX
000918102,AOF
000919100,AMF
000935106,ADIKF
000937102,ABN
000937102,ABNYY
000942102,AMU
000944108,AERN
000944207,AERN
000944207,AERND
000949107,ADF
000955104,ACTT
000957100,ABM
000973107,ACTMQ
000973107,AMNUQ
000981100,ACIT
001004100,ADMT
00100W108,ADII
00100X106,ADSM
00100X205,AMGU
001012202,AECLY
00101B103,ADPT
00101J106,ADT
00101P102,AEBF
00101P102,AEBFE
00101U101,ADGS
00101Y103,ACSX
001031103,AEPI
001037100,AFAO
001037209,AFAI
001038108,AFAP
00103V305,AESRO
001046101,ASFE
00104G109,AESP
00104H107,RIF
00104Q107,AFCE
00104Y100,APLN
001055102,AFL
001055300,AFSD
001057207,AMFN
001058106,AFPC
001058205,AFPC
001058205,AFPCD
001058205,IWKS
00105V105,AFEM
001069103,SWAT
001069103,SWATXXXX
001069111,SWATWXXXX
001069202,SWATU
00106E102,AFNN
00106F208,AFGU
00106W102,AFXSF
00106X100,AFVS
00106X100,AFVSE
001071208,AGAO
001077106,AGBG
00107N101,AFAN
001084102,AG
001084102,AGCO
00108J109,ACMR
00108M102,AGNU
00108M102,AGNUQ
00108M102,WGA
001092105,AGFMF
00109C103,ASGLY
0010EP207,ATXCH
0010EP306,ATXCO
0010EQ205,ATXAN
001190107,NCV
001190107,NCVZZZZ
001191105,NCZ
001191105,NCZXXXX
001191105,NCZZZZZ
00119P102,NIE
00119P102,NIEZZZZ
00119Q100,NAI
00119Q100,NAIXXXX
00119Q100,NAIZZZZ
00119R108,NGZ
00119R108,NGZZZZZ
001201102,AGLNY
001201201,AGLXY
001204106,AGL
001204106,ATG
001204106,GAS
001225101,AMGJ
001228105,MITT
001228204,MITTP
001228204,MITTPRA
001228303,MITTPRB
001236108,AGRT
001236207,AGRT
001236207,AGRTD
00123Q104,AGNC
00123Q104,AGNCZZZZ
00123Q203,AGNCP
00123Q203,AGNCPZZZZ
00123Q302,AGNCB
00123Q302,AGNCBZZZZ
00123Q500,AGNCN
00123Q500,AGNNP
00123Q609,AGNCM
00123Q609,AGNCO
00126W108,AGUE
00126W108,AGUEE
001282102,AHC
001303106,GLOV
001307107,AHSI
00130H105,AES
00130R103,AHTCQ
001317106,AAIGY
001317205,AAGIY
001338201,AICPQ
00135T104,AIBGY
00141R100,AIMS
001426105,AIMT
001426105,AIMTE
001430107,AISSF
001436104,ASYI
001436104,ASYIE
00143A105,AIOIY
001448109,AITB
001450105,ATWL
001457100,AIVI
001457100,ECOH
001474105,001474
001474105,AJGH
001474204,AJGH
001474204,AJGHD
001503101,AJSB
00150P102,AJSB
001525104,AKAVF
001525104,AKAVFXXXX
001547108,AKS
001597103,ALCD
001597202,ALCD
001600105,ALCS
001600105,ALCSQ
001627108,ALJJ
001628106,AKABY
00162Q106,GRI
00162Q205,EQL
00162Q304,CRBQ
00162Q403,CRBA
00162Q460,ACES
00162Q478,DTEC
00162Q486,SWIN
00162Q494,BUZ
00162Q510,RFFC
00162Q528,RFDA
00162Q536,RFCI
00162Q544,RFUN
00162Q551,PUTX
00162Q569,SLOW
00162Q577,SLDR
00162Q585,SGDJ
00162Q585,SGDJXXXX
00162Q593,SBIO
00162Q601,CRBI
00162Q635,STXX
00162Q643,SGDM
00162Q643,SGDMXXXX
00162Q650,EQLT
00162Q668,EDOG
00162Q676,ENFR
00162Q718,IDOG
00162Q726,BFOR
00162Q734,HVPW
00162Q742,GSRA
00162Q759,GSAX
00162Q767,GSMA
00162Q775,GSGO
00162Q783,RIGS
00162Q791,SPXH
00162Q809,WCAT
00162Q817,TRSK
00162Q825,ASDR
00162Q833,RUDR
00162Q841,EMDR
00162Q858,SDOG
00162Q866,AMLP
001630102,ALRT
001630102,ALRTE
00163T109,AMB
00163T307,AMBPR
00163T307,AMBPRL
00163T406,AMBPRM
00163T505,AMBPRO
00163T505,AMBXP
00163T604,AMBPRP
00163T604,AMBYP
00163U106,AMAG
001642107,ACFL
001644103,AMHN
001648203,AMVPQ
00164V103,AMCX
00165C104,AMC
00165R101,AMCI
00165R119,AMCIW
00165R200,AMCIU
001669100,AEN
001674100,AMCM
00167K401,ADL
00167K401,ADLXXXX
00167K500,ADL
00167X205,AMEZY
00167X205,AMFW
001683101,AFIPA
001696103,AMGO
001696103,AMGOF
00169X203,AMGZO
001705102,ACERF
00170F209,AATRL
001712108,AMCS
001733104,AMLJ
001735109,AML
001744101,AHS
001744101,AMN
001754100,AMPD
00175H101,AMOR
00175H101,AMORE
00175J107,POWW
00175J107,RTROD
001765106,AAMRQ
001765106,AMR
001765866,AAR
001782101,AMRXF
00178P100,AHCKF
