SDate,CUSIP,Symbol,Price
20010215,00846U101,A,
20010331,00846U101,A,
20010515,00846U101,A,
20010630,00846U101,A,
20010815,00846U101,A,
20010930,00846U101,A,
20011115,00846U101,A,
20011231,00846U101,A,
20020215,00846U101,A,
20020331,00846U101,A,
20020515,00846U101,A,
20020630,00846U101,A,
20020815,00846U101,A,
20020930,00846U101,A,
20021115,00846U101,A,
20021231,00846U101,A,
20030215,00846U101,A,
20030331,00846U101,A,
20030515,00846U101,A,
20030630,00846U101,A,
20030815,00846U101,A,
20030930,00846U101,A,
20031115,00846U101,A,
20031231,00846U101,A,
20040215,00846U101,A,
20040331,00846U101,A,
20040515,00846U101,A,
20040630,00846U101,A,
20040815,00846U101,A,
20040930,00846U101,A,
20041115,00846U101,A,
20041231,00846U101,A,
20050215,00846U101,A,
20050331,00846U101,A,
20050515,00846U101,A,
20050630,00846U101,A,
20050815,00846U101,A,
20050930,00846U101,A,
20051115,00846U101,A,
20051231,00846U101,A,
20060215,00846U101,A,
20060331,00846U101,A,
20060515,00846U101,A,
20060630,00846U101,A,
20060815,00846U101,A,
20060930,00846U101,A,
20061115,00846U101,A,
20061231,00846U101,A,
20070215,00846U101,A,
20070331,00846U101,A,
20070515,00846U101,A,37.78
20070630,00846U101,A,39.65
20070815,00846U101,A,34.915
20070930,00846U101,A,37.02461538461538
20071115,00846U101,A,36.307500000000005
20071231,00846U101,A,36.71333333333334
20080215,00846U101,A,31.8125
20080331,00846U101,A,29.83
20080515,00846U101,A,34.07
20080630,00846U101,A,36.22538461538461
20080815,00846U101,A,34.62756756756757
20080930,00846U101,A,29.66
20081115,00846U101,A,20.045
20081231,00846U101,A,15.255
20090215,00846U101,A,18.45
20090331,00846U101,A,15.700000000000001
20090515,00846U101,A,18.10333333333333
20090630,00846U101,A,20.31
20090815,00846U101,A,24.223333333333333
20090930,00846U101,A,27.83
20091115,00846U101,A,28.61
20091231,00846U101,A,31.0925
20100215,00846U101,A,30.206666666666667
20100331,00846U101,A,34.61142857142857
20100515,00846U101,A,34.166666666666664
20100630,00846U101,A,28.43
20100815,00846U101,A,27.35
20100930,00846U101,A,32.864999999999995
20101115,00846U101,A,36.2
20101231,00846U101,A,41.46875
20110215,00846U101,A,44.47
20110331,00846U101,A,44.78
20110515,00846U101,A,52.58
20110630,00846U101,A,51.11
20110815,00846U101,A,37.5
20110930,00846U101,A,30.744
20111115,00846U101,A,38.20666666666666
20111231,00846U101,A,36.18
20120215,00846U101,A,43.805
20120331,00846U101,A,44.49333333333333
20120515,00846U101,A,40.51
20120630,00846U101,A,38.686
20120815,00846U101,A,40.48
20120930,00846U101,A,38.45
20121115,00846U101,A,37.28090909090909
20121231,00846U101,A,40.513333333333335
20130215,00846U101,A,44.266
20130331,00846U101,A,41.97
20130515,00846U101,A,44.480000000000004
20130630,00846U101,A,42.76
20130815,00846U101,A,46.96
20130930,00846U101,A,51.765
20131115,00846U101,A,53.438
20131231,00846U101,A,57.254999999999995
20140215,00846U101,A,57.665
20140331,00846U101,A,55.92
20140515,00846U101,A,54.49
20140630,00846U101,A,57.44
20140815,00846U101,A,56.27333333333333
20140930,00846U101,A,56.98
20141115,00846U101,A,41.345
20141231,00846U101,A,41.155
20150215,00846U101,A,40.1175
20150331,00846U101,A,41.55
20150515,00846U101,A,42.04666666666667
20150630,00846U101,A,38.58
20150815,00846U101,A,39.02
20150930,00846U101,A,34.33
20151115,00846U101,A,36.77
20151231,00846U101,A,42.08
20160215,00846U101,A,36.73
20160331,00846U101,A,39.730000000000004
20160515,00846U101,A,42.62
20160630,00846U101,A,44.36
20160815,00846U101,A,48.44
20160930,00846U101,A,47.135000000000005
20161115,00846U101,A,45.4
20161231,00846U101,A,46.126666666666665
20170215,00846U101,A,51.62
20170331,00846U101,A,53.29
20170515,00846U101,A,56.7
20170630,00846U101,A,58.88333333333333
20170815,00846U101,A,59.38
20170930,00846U101,A,65.5564705882353
20171115,00846U101,A,67.93857142857142
20171231,00846U101,A,67.09
20180215,00846U101,A,72.02
20180331,00846U101,A,65.91
20180515,00846U101,A,62.5
20180630,00846U101,A,61.656666666666666
20180815,00846U101,A,66.6125
20180930,00846U101,A,71.35285714285715
20181115,00846U101,A,64.72
20181231,00846U101,A,66.71
20190215,00846U101,A,77.11999999999999
20190331,00846U101,A,80.97481481481482
20190515,00846U101,A,67.64
20190630,00846U101,A,74.9925
20190815,00846U101,A,
20190930,00846U101,A,
20191115,00846U101,A,
20191231,00846U101,A,
20200215,00846U101,A,
20200331,00846U101,A,
20200515,00846U101,A,
20200630,00846U101,A,
20200815,00846U101,A,
20200930,00846U101,A,
20201115,00846U101,A,
20010215,02376R102,AAL,
20010331,02376R102,AAL,
20010515,02376R102,AAL,
20010630,02376R102,AAL,
20010815,02376R102,AAL,
20010930,02376R102,AAL,
20011115,02376R102,AAL,
20011231,02376R102,AAL,
20020215,02376R102,AAL,
20020331,02376R102,AAL,
20020515,02376R102,AAL,
20020630,02376R102,AAL,
20020815,02376R102,AAL,
20020930,02376R102,AAL,
20021115,02376R102,AAL,
20021231,02376R102,AAL,
20030215,02376R102,AAL,
20030331,02376R102,AAL,
20030515,02376R102,AAL,
20030630,02376R102,AAL,
20030815,02376R102,AAL,
20030930,02376R102,AAL,
20031115,02376R102,AAL,
20031231,02376R102,AAL,
20040215,02376R102,AAL,
20040331,02376R102,AAL,
20040515,02376R102,AAL,
20040630,02376R102,AAL,
20040815,02376R102,AAL,
20040930,02376R102,AAL,
20041115,02376R102,AAL,
20041231,02376R102,AAL,
20050215,02376R102,AAL,
20050331,02376R102,AAL,
20050515,02376R102,AAL,
20050630,02376R102,AAL,
20050815,02376R102,AAL,
20050930,02376R102,AAL,
20051115,02376R102,AAL,
20051231,02376R102,AAL,
20060215,02376R102,AAL,
20060331,02376R102,AAL,
20060515,02376R102,AAL,
20060630,02376R102,AAL,
20060815,02376R102,AAL,
20060930,02376R102,AAL,
20061115,02376R102,AAL,
20061231,02376R102,AAL,
20070215,02376R102,AAL,
20070331,02376R102,AAL,
20070515,02376R102,AAL,
20070630,02376R102,AAL,
20070815,02376R102,AAL,
20070930,02376R102,AAL,
20071115,02376R102,AAL,
20071231,02376R102,AAL,
20080215,02376R102,AAL,
20080331,02376R102,AAL,
20080515,02376R102,AAL,
20080630,02376R102,AAL,
20080815,02376R102,AAL,
20080930,02376R102,AAL,
20081115,02376R102,AAL,
20081231,02376R102,AAL,
20090215,02376R102,AAL,
20090331,02376R102,AAL,
20090515,02376R102,AAL,
20090630,02376R102,AAL,
20090815,02376R102,AAL,
20090930,02376R102,AAL,
20091115,02376R102,AAL,
20091231,02376R102,AAL,
20100215,02376R102,AAL,
20100331,02376R102,AAL,
20100515,02376R102,AAL,
20100630,02376R102,AAL,
20100815,02376R102,AAL,
20100930,02376R102,AAL,
20101115,02376R102,AAL,
20101231,02376R102,AAL,
20110215,02376R102,AAL,
20110331,02376R102,AAL,
20110515,02376R102,AAL,
20110630,02376R102,AAL,
20110815,02376R102,AAL,
20110930,02376R102,AAL,
20111115,02376R102,AAL,
20111231,02376R102,AAL,
20120215,02376R102,AAL,
20120331,02376R102,AAL,
20120515,02376R102,AAL,
20120630,02376R102,AAL,
20120815,02376R102,AAL,
20120930,02376R102,AAL,
20121115,02376R102,AAL,
20121231,02376R102,AAL,
20130215,02376R102,AAL,
20130331,02376R102,AAL,
20130515,02376R102,AAL,
20130630,02376R102,AAL,
20130815,02376R102,AAL,
20130930,02376R102,AAL,
20131115,02376R102,AAL,
20131231,02376R102,AAL,25.015
20140215,02376R102,AAL,34.72
20140331,02376R102,AAL,36.6
20140515,02376R102,AAL,38.19
20140630,02376R102,AAL,42.96
20140815,02376R102,AAL,39.443333333333335
20140930,02376R102,AAL,35.48
20141115,02376R102,AAL,44.04666666666667
20141231,02376R102,AAL,53.525000000000006
20150215,02376R102,AAL,48.230000000000004
20150331,02376R102,AAL,52.78
20150515,02376R102,AAL,48.77
20150630,02376R102,AAL,39.275
20150815,02376R102,AAL,42.81
20150930,02376R102,AAL,38.83
20151115,02376R102,AAL,43.45
20151231,02376R102,AAL,42.97571428571429
20160215,02376R102,AAL,37.82
20160331,02376R102,AAL,41.01
20160515,02376R102,AAL,31.51
20160630,02376R102,AAL,28.31
20160815,02376R102,AAL,36.053333333333335
20160930,02376R102,AAL,36.083333333333336
20161115,02376R102,AAL,44.76
20161231,02376R102,AAL,47.33
20170215,02376R102,AAL,47.26
20170331,02376R102,AAL,42.46
20170515,02376R102,AAL,46.68
20170630,02376R102,AAL,49.31
20170815,02376R102,AAL,47.88333333333333
20170930,02376R102,AAL,47.33
20171115,02376R102,AAL,47.19
20171231,02376R102,AAL,52.44384615384616
20180215,02376R102,AAL,51.67
20180331,02376R102,AAL,51.682500000000005
20180515,02376R102,AAL,43.19
20180630,02376R102,AAL,38.04
20180815,02376R102,AAL,37.70333333333333
20180930,02376R102,AAL,41.33
20181115,02376R102,AAL,37.82
20181231,02376R102,AAL,31.97
20190215,02376R102,AAL,35.982
20190331,02376R102,AAL,31.9875
20190515,02376R102,AAL,32.16
20190630,02376R102,AAL,32.697500000000005
20190815,02376R102,AAL,
20190930,02376R102,AAL,
20191115,02376R102,AAL,
20191231,02376R102,AAL,
20200215,02376R102,AAL,
20200331,02376R102,AAL,
20200515,02376R102,AAL,
20200630,02376R102,AAL,
20200815,02376R102,AAL,
20200930,02376R102,AAL,
20201115,02376R102,AAL,
20010215,00751Y106,AAP,
20010331,00751Y106,AAP,
20010515,00751Y106,AAP,
20010630,00751Y106,AAP,
20010815,00751Y106,AAP,
20010930,00751Y106,AAP,
20011115,00751Y106,AAP,
20011231,00751Y106,AAP,
20020215,00751Y106,AAP,
20020331,00751Y106,AAP,
20020515,00751Y106,AAP,
20020630,00751Y106,AAP,
20020815,00751Y106,AAP,
20020930,00751Y106,AAP,
20021115,00751Y106,AAP,
20021231,00751Y106,AAP,
20030215,00751Y106,AAP,
20030331,00751Y106,AAP,
20030515,00751Y106,AAP,
20030630,00751Y106,AAP,
20030815,00751Y106,AAP,
20030930,00751Y106,AAP,
20031115,00751Y106,AAP,
20031231,00751Y106,AAP,
20040215,00751Y106,AAP,
20040331,00751Y106,AAP,
20040515,00751Y106,AAP,
20040630,00751Y106,AAP,
20040815,00751Y106,AAP,
20040930,00751Y106,AAP,
20041115,00751Y106,AAP,
20041231,00751Y106,AAP,
20050215,00751Y106,AAP,
20050331,00751Y106,AAP,
20050515,00751Y106,AAP,
20050630,00751Y106,AAP,
20050815,00751Y106,AAP,
20050930,00751Y106,AAP,
20051115,00751Y106,AAP,
20051231,00751Y106,AAP,
20060215,00751Y106,AAP,
20060331,00751Y106,AAP,
20060515,00751Y106,AAP,
20060630,00751Y106,AAP,
20060815,00751Y106,AAP,
20060930,00751Y106,AAP,
20061115,00751Y106,AAP,
20061231,00751Y106,AAP,
20070215,00751Y106,AAP,
20070331,00751Y106,AAP,
20070515,00751Y106,AAP,40.78457142857143
20070630,00751Y106,AAP,40.638000000000005
20070815,00751Y106,AAP,32.804117647058824
20070930,00751Y106,AAP,33.38870967741936
20071115,00751Y106,AAP,35.613749999999996
20071231,00751Y106,AAP,36.486
20080215,00751Y106,AAP,33.6252
20080331,00751Y106,AAP,33.864375
20080515,00751Y106,AAP,37.55578125
20080630,00751Y106,AAP,39.21
20080815,00751Y106,AAP,44.17928571428572
20080930,00751Y106,AAP,39.66
20081115,00751Y106,AAP,27.205
20081231,00751Y106,AAP,33.236
20090215,00751Y106,AAP,32.865
20090331,00751Y106,AAP,41.08
20090515,00751Y106,AAP,40.209999999999994
20090630,00751Y106,AAP,41.49
20090815,00751Y106,AAP,43.19
20090930,00751Y106,AAP,38.93333333333333
20091115,00751Y106,AAP,39.25
20091231,00751Y106,AAP,40.8775
20100215,00751Y106,AAP,42.81
20100331,00751Y106,AAP,42.256
20100515,00751Y106,AAP,45.165
20100630,00751Y106,AAP,50.18
20100815,00751Y106,AAP,54.26
20100930,00751Y106,AAP,59.42
20101115,00751Y106,AAP,65.21
20101231,00751Y106,AAP,66.53
20110215,00751Y106,AAP,63.53
20110331,00751Y106,AAP,65.62
20110515,00751Y106,AAP,72.16
20110630,00751Y106,AAP,58.49
20110815,00751Y106,AAP,56.36
20110930,00751Y106,AAP,58.7
20111115,00751Y106,AAP,68.45
20111231,00751Y106,AAP,69.99
20120215,00751Y106,AAP,79.4
20120331,00751Y106,AAP,88.424
20120515,00751Y106,AAP,81.08
20120630,00751Y106,AAP,67.38333333333333
20120815,00751Y106,AAP,71.11
20120930,00751Y106,AAP,68.44
20121115,00751Y106,AAP,77.5
20121231,00751Y106,AAP,72.10666666666667
20130215,00751Y106,AAP,79.12142857142857
