Ticker,Type,Contract_Name,Last_Trade_Date,Strike,Last_Price,Bid,Ask,Change,Pct_Change,Volume,Open_Interest,Implied_Volatility,Ticker_Price,Avg_Price,Likely_Price,Profit_Pct,Flag
BHP,Call,BHP210219C00025000,2020-10-28 10:59AM EST,25.0,23.1,32.1,32.4,0.0,-,-,97,0.00%,66.78,32.25,23.1,0.3459119496855346,no
BHP,Call,BHP210219C00027500,2020-10-27 11:25AM EST,27.5,22.6,29.7,30.0,0.0,-,-,119,0.00%,66.78,29.85,22.6,0.3384246780473196,no
BHP,Call,BHP210219C00030000,2020-10-22 10:13AM EST,30.0,21.5,22.0,25.4,0.0,-,-,87,0.00%,66.78,23.7,21.5,0.3219526804432465,no
BHP,Call,BHP210219C00032500,2020-10-26 9:34AM EST,32.5,18.4,24.7,25.2,0.0,-,44,133,0.00%,66.78,24.95,18.4,0.27553159628631324,no
BHP,Call,BHP210219C00035000,2020-10-30 11:15AM EST,35.0,13.3,22.2,22.5,0.0,-,46,46,0.00%,66.78,22.35,13.3,0.19916142557651992,no
BHP,Call,BHP210219C00037500,2020-09-02 2:41PM EST,37.5,18.6,13.7,15.5,0.0,-,11,0,0.00%,66.78,14.6,14.6,0.21862833183587901,no
BHP,Call,BHP210219C00040000,2021-01-15 10:16AM EST,40.0,30.6,25.3,29.5,0.0,-,5,13,152.64%,66.78,27.4,27.4,0.4103024857741839,no
BHP,Call,BHP210219C00042500,2020-11-04 9:59AM EST,42.5,7.7,20.6,20.9,0.0,-,53,155,0.00%,66.78,20.75,7.7,0.11530398322851153,no
BHP,Call,BHP210219C00045000,2020-11-13 10:48AM EST,45.0,8.48,19.2,20.2,0.0,-,10,103,0.00%,66.78,19.7,8.48,0.12698412698412698,no
BHP,Call,BHP210219C00047500,2021-01-04 9:58AM EST,47.5,20.73,18.1,21.2,0.0,-,1,10,96.88%,66.78,19.65,19.65,0.2942497753818508,no
BHP,Call,BHP210219C00050000,2021-01-26 11:36AM EST,50.0,21.7,15.5,18.3,0.0,-,2,129,67.38%,66.78,16.9,16.9,0.2530697813716681,no
BHP,Call,BHP210219C00052500,2021-01-20 1:07PM EST,52.5,20.6,12.8,16.3,0.0,-,1,197,68.07%,66.78,14.55,14.55,0.2178796046720575,no
BHP,Call,BHP210219C00055000,2021-01-26 1:10PM EST,55.0,17.2,10.8,13.8,0.0,-,5,291,68.02%,66.78,12.3,12.3,0.18418688230008987,no
BHP,Call,BHP210219C00057500,2021-01-28 12:15PM EST,57.5,13.0,7.6,11.4,0.0,-,1,275,96.44%,66.78,9.5,9.5,0.14225816112608566,no
BHP,Call,BHP210219C00060000,2021-01-29 2:00PM EST,60.0,7.7,5.4,7.6,-3.44,-30.88%,26,984,52.44%,66.78,6.5,6.5,0.09733453129679544,no
BHP,Call,BHP210219C00062500,2021-01-29 3:34PM EST,62.5,5.3,4.5,5.8,-2.3,-30.26%,18,904,53.35%,66.78,5.15,5.15,0.07711889787361485,no
BHP,Call,BHP210219C00065000,2021-01-29 10:31AM EST,65.0,3.6,3.4,5.2,-1.9,-34.55%,5,683,54.22%,66.78,4.3,3.6,0.05390835579514825,no
BHP,Call,BHP210219C00067500,2021-01-29 12:44PM EST,67.5,2.4,2.1,4.3,-1.44,-37.50%,71,132,56.64%,66.78,3.2,2.4,0.03593890386343216,yes
BHP,Call,BHP210219C00070000,2021-01-28 10:43AM EST,70.0,1.6,1.1,3.5,-0.65,-28.89%,13,989,57.81%,66.78,2.3,1.6,0.023959269242288108,no
BHP,Call,BHP210219C00072500,2021-01-29 3:53PM EST,72.5,0.75,0.1,0.8,-0.65,-46.43%,162,865,42.63%,66.78,0.45,0.45,0.006738544474393531,no
BHP,Call,BHP210219C00075000,2021-01-29 12:55PM EST,75.0,0.5,0.3,0.45,-0.3,-37.50%,13,"1,385",43.31%,66.78,0.375,0.375,0.005615453728661276,no
BHP,Call,BHP210219C00077500,2021-01-27 11:14AM EST,77.5,0.48,0.15,0.45,0.0,-,85,459,51.42%,66.78,0.3,0.3,0.00449236298292902,no
BHP,Call,BHP210219C00080000,2021-01-29 1:46PM EST,80.0,0.15,0.05,0.2,-0.2,-57.14%,4,"2,635",48.63%,66.78,0.125,0.125,0.0018718179095537585,no
BHP,Call,BHP210219C00082500,2021-01-26 2:49PM EST,82.5,0.18,0.0,0.2,0.0,-,11,62,54.98%,66.78,0.1,0.1,0.001497454327643007,no
BHP,Call,BHP210219C00085000,2021-01-25 9:30AM EST,85.0,0.1,0.0,0.2,0.0,-,30,189,53.71%,66.78,0.1,0.1,0.001497454327643007,no
