Ticker,Type,Contract_Name,Last_Trade_Date,Strike,Last_Price,Bid,Ask,Change,Pct_Change,Volume,Open_Interest,Implied_Volatility,Ticker_Price,Avg_Price,Likely_Price,Profit_Pct,Flag
AYI,Call,AYI210219C00050000,2020-10-16 10:02AM EST,50.0,45.26,52.1,56.5,0.0,-,1,1,0.00%,120.24,54.3,45.26,0.3764138389886893,no
AYI,Call,AYI210219C00055000,2020-09-11 2:32PM EST,55.0,50.75,42.6,46.9,0.0,-,25,0,0.00%,120.24,44.75,44.75,0.3721723220226215,no
AYI,Call,AYI210219C00070000,2020-10-30 11:01AM EST,70.0,21.6,49.2,53.7,0.0,-,2,1,162.70%,120.24,51.45,21.6,0.17964071856287428,no
AYI,Call,AYI210219C00075000,2020-12-15 10:33AM EST,75.0,38.32,41.6,46.0,0.0,-,1,0,130.47%,120.24,43.8,38.32,0.3186959414504325,no
AYI,Call,AYI210219C00085000,2020-10-08 9:32AM EST,85.0,24.3,14.3,15.2,0.0,-,3,3,0.00%,120.24,14.75,14.75,0.12267132401862943,no
AYI,Call,AYI210219C00090000,2020-12-08 3:58PM EST,90.0,29.92,29.3,33.4,0.0,-,1,5,96.58%,120.24,31.35,29.92,0.24883566200931476,no
AYI,Call,AYI210219C00095000,2021-01-15 12:45PM EST,95.0,22.48,23.9,28.5,0.0,-,1,21,79.25%,120.24,26.2,22.48,0.18695941450432468,no
AYI,Call,AYI210219C00100000,2021-01-11 10:05AM EST,100.0,18.84,19.1,23.4,0.0,-,2,11,66.94%,120.24,21.25,18.84,0.156686626746507,no
AYI,Call,AYI210219C00105000,2021-01-08 3:28PM EST,105.0,12.76,15.6,17.6,0.0,-,4,12,59.33%,120.24,16.6,12.76,0.10612109115103127,no
AYI,Call,AYI210219C00110000,2021-01-21 3:01PM EST,110.0,13.5,10.6,13.2,0.0,-,12,27,64.33%,120.24,11.9,11.9,0.09896872920825016,no
AYI,Call,AYI210219C00115000,2021-01-22 9:46AM EST,115.0,8.6,7.2,9.2,0.0,-,1,199,56.79%,120.24,8.2,8.2,0.06819693945442447,no
AYI,Call,AYI210219C00120000,2021-01-29 11:26AM EST,120.0,9.3,5.4,6.0,1.3,+16.25%,5,598,52.44%,120.24,5.7,5.7,0.04740518962075849,no
AYI,Call,AYI210219C00125000,2021-01-28 3:43PM EST,125.0,5.0,3.2,3.9,0.0,-,6,188,52.27%,120.24,3.55,3.55,0.029524284763805718,yes
AYI,Call,AYI210219C00130000,2021-01-29 1:06PM EST,130.0,2.2,1.85,2.45,-0.41,-15.71%,3,73,52.56%,120.24,2.1500000000000004,2.1500000000000004,0.017880904856952762,no
AYI,Call,AYI210219C00135000,2021-01-28 10:56AM EST,135.0,4.24,1.0,2.0,0.0,-,1,48,53.13%,120.24,1.5,1.5,0.0124750499001996,no
AYI,Call,AYI210219C00140000,2021-01-29 9:32AM EST,140.0,3.0,0.1,0.9,-0.72,-19.35%,5,201,53.81%,120.24,0.5,0.5,0.004158349966733201,no
AYI,Call,AYI210219C00145000,2021-01-27 1:52PM EST,145.0,3.0,0.15,0.65,0.0,-,224,225,51.17%,120.24,0.4,0.4,0.0033266799733865605,no
AYI,Call,AYI210219C00150000,2021-01-28 9:30AM EST,150.0,1.2,0.1,0.4,0.0,-,2,6,53.08%,120.24,0.25,0.25,0.0020791749833666004,no
AYI,Call,AYI210219C00155000,2021-01-27 11:54AM EST,155.0,0.9,0.0,1.1,0.0,-,1,4,69.09%,120.24,0.55,0.55,0.0045741849634065215,no
AYI,Call,AYI210219C00160000,2020-12-04 10:05AM EST,160.0,0.7,0.05,0.75,0.0,-,1,1,70.95%,120.24,0.4,0.4,0.0033266799733865605,no
AYI,Call,AYI210219C00165000,2020-11-27 9:39AM EST,165.0,0.75,0.05,1.5,0.0,-,1,1,87.89%,120.24,0.775,0.75,0.0062375249500998,no
AYI,Call,AYI210219C00170000,2021-01-12 10:15AM EST,170.0,0.2,0.0,2.25,0.0,-,1,1,102.25%,120.24,1.125,0.2,0.0016633399866932805,no
AYI,Call,AYI210219C00175000,2021-01-12 10:11AM EST,175.0,0.2,0.0,4.2,0.0,-,1,1,126.86%,120.24,2.1,0.2,0.0016633399866932805,no
AYI,Call,AYI210219C00180000,2021-01-12 10:12AM EST,180.0,0.15,0.0,4.3,0.0,-,2,2,134.08%,120.24,2.15,0.15,0.0012475049900199599,no
AYI,Put,AYI210219P00045000,2020-10-09 12:13PM EST,45.0,0.2,0.0,0.2,0.0,-,7,33,179.69%,120.24,0.1,0.1,0.0022222222222222227,no
AYI,Put,AYI210219P00050000,2020-10-15 2:35PM EST,50.0,0.35,0.0,0.25,0.0,-,5,102,166.41%,120.24,0.125,0.125,0.0025,no
AYI,Put,AYI210219P00055000,2020-08-25 8:30AM EST,55.0,0.7,0.0,2.35,0.0,-,-,1,221.19%,120.24,1.175,0.7,0.012727272727272726,no
AYI,Put,AYI210219P00060000,2020-10-30 10:20AM EST,60.0,1.3,0.0,0.2,0.0,-,1,3,130.47%,120.24,0.1,0.1,0.0016666666666666668,no
AYI,Put,AYI210219P00065000,2020-10-21 11:36AM EST,65.0,1.2,0.0,1.25,0.0,-,1,44,157.03%,120.24,0.625,0.625,0.009615384615384616,no
AYI,Put,AYI210219P00070000,2020-12-29 3:39PM EST,70.0,0.14,0.0,5.0,0.0,-,10,27,197.90%,120.24,2.5,0.14,0.002,no
