Ticker,Type,Contract_Name,Last_Trade_Date,Strike,Last_Price,Bid,Ask,Change,Pct_Change,Volume,Open_Interest,Implied_Volatility,Ticker_Price,Avg_Price,Likely_Price,Profit_Pct,Flag
BHP,Call,BHP210319C00055000,2021-02-03 10:45AM EST,55.0,12.3,14.0,16.9,0.0,-,24,25,87.35%,70.38,15.45,12.3,0.17476555839727198,no
BHP,Call,BHP210319C00060000,2021-02-05 12:18PM EST,60.0,8.1,10.1,11.0,0.0,-,1,7,47.61%,70.38,10.55,8.1,0.11508951406649615,no
BHP,Call,BHP210319C00062500,2021-02-04 9:30AM EST,62.5,7.8,8.1,9.3,0.0,-,57,71,53.39%,70.38,8.7,7.8,0.11082693947144076,no
BHP,Call,BHP210319C00065000,2021-02-10 3:49PM EST,65.0,5.5,5.9,6.2,0.0,-,70,242,33.25%,70.38,6.050000000000002,5.5,0.07814720090934925,no
BHP,Call,BHP210319C00067500,2021-02-12 3:51PM EST,67.5,4.18,4.0,4.5,0.48,+12.97%,50,830,34.23%,70.38,4.25,4.18,0.05939187269110543,no
BHP,Call,BHP210319C00070000,2021-02-12 2:24PM EST,70.0,2.73,2.55,2.95,0.38,+16.17%,9,762,32.74%,70.38,2.75,2.73,0.03878942881500426,no
BHP,Call,BHP210319C00072500,2021-02-12 10:43AM EST,72.5,1.65,1.5,1.75,0.3,+22.22%,7,338,31.25%,70.38,1.625,1.625,0.023088945723216826,yes
BHP,Call,BHP210319C00075000,2021-02-12 1:34PM EST,75.0,0.96,0.9,1.05,0.16,+20.00%,12,1243,31.76%,70.38,0.975,0.96,0.013640238704177323,no
BHP,Call,BHP210319C00077500,2021-02-12 3:06PM EST,77.5,0.54,0.5,0.65,-0.01,-1.82%,2,101,33.11%,70.38,0.575,0.54,0.007672634271099745,no
BHP,Call,BHP210319C00080000,2021-02-12 10:39AM EST,80.0,0.3,0.25,0.45,-0.06,-16.67%,2,337,35.55%,70.38,0.35,0.3,0.004262574595055414,no
BHP,Call,BHP210319C00082500,2021-02-10 3:07PM EST,82.5,0.23,0.15,0.35,0.0,-,5,107,38.67%,70.38,0.25,0.23,0.0032679738562091513,no
BHP,Call,BHP210319C00085000,2021-02-10 10:40AM EST,85.0,0.15,0.0,1.25,0.0,-,5,200,51.03%,70.38,0.625,0.15,0.002131287297527707,no
BHP,Call,BHP210319C00090000,2021-01-22 10:35AM EST,90.0,0.1,0.0,1.1,0.0,-,10,573,59.47%,70.38,0.55,0.1,0.0014208581983518047,no
BHP,Put,BHP210319P00055000,2021-02-10 10:32AM EST,55.0,0.25,0.1,0.3,0.0,-,50,263,50.10%,70.38,0.2,0.2,0.003636363636363637,no
BHP,Put,BHP210319P00060000,2021-02-12 3:38PM EST,60.0,0.5,0.4,0.55,-0.1,-16.67%,2,172,45.90%,70.38,0.475,0.475,0.007916666666666667,no
BHP,Put,BHP210319P00062500,2021-02-12 3:47PM EST,62.5,0.85,0.75,1.1,-0.15,-15.00%,4,188,47.95%,70.38,0.925,0.85,0.0136,no
BHP,Put,BHP210319P00065000,2021-02-12 12:40PM EST,65.0,1.38,0.9,1.45,-0.17,-10.97%,5,271,43.19%,70.38,1.175,1.175,0.01807692307692308,no
BHP,Put,BHP210319P00067500,2021-02-12 1:14PM EST,67.5,2.16,2.05,2.25,-0.39,-15.29%,4,1815,42.41%,70.38,2.15,2.15,0.03185185185185185,no
BHP,Put,BHP210319P00070000,2021-02-12 1:14PM EST,70.0,3.36,3.2,3.5,-0.44,-11.58%,9,782,43.82%,70.38,3.35,3.35,0.047857142857142855,yes
BHP,Put,BHP210319P00072500,2021-02-12 11:51AM EST,72.5,4.7,4.5,5.1,-0.4,-7.84%,5,137,46.14%,70.38,4.8,4.7,0.06482758620689655,no
